site_code,site_name,date,oxygen_ml_l
AS04,AS04 Mooring,2013-02-07 00:00:00+00:00,3.3800694444444455
AS04,AS04 Mooring,2013-02-08 00:00:00+00:00,3.6911249999999987
AS04,AS04 Mooring,2013-02-09 00:00:00+00:00,3.957625
AS04,AS04 Mooring,2013-02-10 00:00:00+00:00,4.071347222222222
AS04,AS04 Mooring,2013-02-11 00:00:00+00:00,3.973430555555557
AS04,AS04 Mooring,2013-02-12 00:00:00+00:00,3.833055555555555
AS04,AS04 Mooring,2013-02-13 00:00:00+00:00,3.705958333333335
AS04,AS04 Mooring,2013-02-14 00:00:00+00:00,3.646791666666667
AS04,AS04 Mooring,2013-02-15 00:00:00+00:00,3.3608055555555563
AS04,AS04 Mooring,2013-02-16 00:00:00+00:00,3.185611111111111
AS04,AS04 Mooring,2013-02-17 00:00:00+00:00,3.2211805555555557
AS04,AS04 Mooring,2013-02-18 00:00:00+00:00,3.1240555555555556
AS04,AS04 Mooring,2013-02-19 00:00:00+00:00,2.9165000000000005
AS04,AS04 Mooring,2013-02-20 00:00:00+00:00,2.732680555555555
AS04,AS04 Mooring,2013-02-21 00:00:00+00:00,2.6915972222222226
AS04,AS04 Mooring,2013-02-22 00:00:00+00:00,2.8468750000000003
AS04,AS04 Mooring,2013-02-23 00:00:00+00:00,2.9855000000000005
AS04,AS04 Mooring,2013-02-24 00:00:00+00:00,3.223000000000001
AS04,AS04 Mooring,2013-02-25 00:00:00+00:00,3.3011944444444437
AS04,AS04 Mooring,2013-02-26 00:00:00+00:00,3.453638888888888
AS04,AS04 Mooring,2013-02-27 00:00:00+00:00,3.6030416666666665
AS04,AS04 Mooring,2013-02-28 00:00:00+00:00,3.496500000000001
AS04,AS04 Mooring,2013-03-01 00:00:00+00:00,3.3707083333333325
AS04,AS04 Mooring,2013-03-02 00:00:00+00:00,3.4012361111111105
AS04,AS04 Mooring,2013-03-03 00:00:00+00:00,3.6621250000000014
AS04,AS04 Mooring,2013-03-04 00:00:00+00:00,3.896249999999997
AS04,AS04 Mooring,2013-03-05 00:00:00+00:00,3.4114166666666668
AS04,AS04 Mooring,2013-03-06 00:00:00+00:00,3.097430555555557
AS04,AS04 Mooring,2013-03-07 00:00:00+00:00,2.9269583333333333
AS04,AS04 Mooring,2013-03-08 00:00:00+00:00,2.9453194444444435
AS04,AS04 Mooring,2013-03-09 00:00:00+00:00,3.039416666666666
AS04,AS04 Mooring,2013-03-10 00:00:00+00:00,3.266319444444444
AS04,AS04 Mooring,2013-03-11 00:00:00+00:00,3.3693194444444448
AS04,AS04 Mooring,2013-03-12 00:00:00+00:00,3.2813888888888894
AS04,AS04 Mooring,2013-03-13 00:00:00+00:00,3.2285416666666666
AS04,AS04 Mooring,2013-03-14 00:00:00+00:00,3.207833333333333
AS04,AS04 Mooring,2013-03-15 00:00:00+00:00,3.410666666666666
AS04,AS04 Mooring,2013-03-16 00:00:00+00:00,3.5954305555555552
AS04,AS04 Mooring,2013-03-17 00:00:00+00:00,3.6526111111111113
AS04,AS04 Mooring,2013-03-18 00:00:00+00:00,3.5252361111111097
AS04,AS04 Mooring,2013-03-19 00:00:00+00:00,3.212125000000001
AS04,AS04 Mooring,2013-03-20 00:00:00+00:00,2.7717083333333337
AS04,AS04 Mooring,2013-03-21 00:00:00+00:00,2.6548888888888893
AS04,AS04 Mooring,2013-03-22 00:00:00+00:00,2.803388888888889
AS04,AS04 Mooring,2013-03-23 00:00:00+00:00,3.060347222222221
AS04,AS04 Mooring,2013-03-24 00:00:00+00:00,2.86359722222222
AS04,AS04 Mooring,2013-03-25 00:00:00+00:00,2.774527777777778
AS04,AS04 Mooring,2013-03-26 00:00:00+00:00,2.812930555555555
AS04,AS04 Mooring,2013-03-27 00:00:00+00:00,2.87536111111111
AS04,AS04 Mooring,2013-03-28 00:00:00+00:00,2.9894444444444437
AS04,AS04 Mooring,2013-03-29 00:00:00+00:00,3.043902777777778
AS04,AS04 Mooring,2013-03-30 00:00:00+00:00,3.1086805555555554
AS04,AS04 Mooring,2013-03-31 00:00:00+00:00,3.159763888888889
AS04,AS04 Mooring,2013-04-01 00:00:00+00:00,3.151680555555556
AS04,AS04 Mooring,2013-04-02 00:00:00+00:00,3.1614444444444443
AS04,AS04 Mooring,2013-04-03 00:00:00+00:00,3.0074305555555556
AS04,AS04 Mooring,2013-04-04 00:00:00+00:00,2.909152777777779
AS04,AS04 Mooring,2013-04-05 00:00:00+00:00,2.8731111111111116
AS04,AS04 Mooring,2013-04-06 00:00:00+00:00,2.877458333333333
AS04,AS04 Mooring,2013-04-07 00:00:00+00:00,3.017777777777777
AS04,AS04 Mooring,2013-04-08 00:00:00+00:00,3.4008750000000005
AS04,AS04 Mooring,2013-04-09 00:00:00+00:00,3.6783055555555557
AS04,AS04 Mooring,2013-04-10 00:00:00+00:00,3.547194444444445
