date,tau_along_3d,tau_along_7d,tau_along_14d,tau_along_30d,wind3_7d,wind3_30d,sstC_7d,sstC_30d,dT_14d,heat_14d,heat_30d,tp_mm_7d,tp_mm_30d,region,fraser_log_7d,fraser_log_30d
2014-08-01 00:00:00+00:00,,,,,,,,,,,,,,burrard,3.6431092225060153,3.692437830246536
2014-08-02 00:00:00+00:00,0.00026323689462663983,,,,,,,,,,,,,burrard,3.6345432882430733,3.6856573507043056
2014-08-03 00:00:00+00:00,-0.0001605222591257127,-0.0001605222591257127,,,0.3485023869581723,,19.37779611111112,,,,,0.0,,burrard,3.6241156441707374,3.6790758475451257
2014-08-04 00:00:00+00:00,-0.0003141981178073606,-6.534620250954389e-05,,,0.2760276316907985,,19.453608958333348,,,,,0.0,,burrard,3.607838022412618,3.672543367267681
2014-08-05 00:00:00+00:00,-0.003732588901474964,-0.002134258583034322,,,4.081988424483321,,19.725824000000024,,,,,0.0,,burrard,3.5913761041124865,3.6655457162438667
2014-08-06 00:00:00+00:00,-0.006603390888601311,-0.003381956573863512,,,6.213662393827924,,19.85494944444447,,,,,0.021139780566666665,,burrard,3.5783077934061103,3.6580042829867176
2014-08-07 00:00:00+00:00,-0.007485536558907367,-0.0032454277838228967,-0.0032454277838228967,,5.6711251570472445,,19.900446428571456,,1.4162038095238034,626.8725398478836,,0.021798269942857138,,burrard,3.567447403862854,3.650434153334164
2014-08-08 00:00:00+00:00,-0.005818922524004621,-0.004115610004367054,-0.003516007560898184,,6.676022666305772,,19.961211547619087,,1.1037973958333254,620.2492439236111,,0.03290176399428572,,burrard,3.5570401711750113,3.642849732095105
2014-08-09 00:00:00+00:00,-0.0027447727367474178,-0.004150361634668086,-0.00316956196149148,,6.6921183030050715,,19.978883809523854,,0.9502198611111036,618.401442644033,,0.03290176399428572,,burrard,3.547288052380936,3.635384542065045
2014-08-10 00:00:00+00:00,-0.001152950627794979,-0.0036707542275382964,-0.0026176846370145213,,6.911109150771807,,19.940095000000042,,0.9792244999999923,618.1613178240741,,0.03290176399428572,,burrard,3.536923671359706,3.6279261895993318
2014-08-11 00:00:00+00:00,0.0026735064233019065,-0.0028351652010345113,-0.0018279582924799775,,8.137598601481722,,19.940744404761947,,1.127826515151505,619.7270387205388,,0.03290176399428572,,burrard,3.525544955993056,3.620261157187104
2014-08-12 00:00:00+00:00,0.002770752657649649,-0.0013632152521861095,-0.0016844833067061983,,5.4198220147454155,,19.76188119047623,,1.3440140624999894,613.1965348186728,,0.04795619422285714,,burrard,3.5128468767709125,3.6123078610485524
2014-08-13 00:00:00+00:00,-0.0013349626848968036,-0.0014128564259506505,-0.00232167187883351,,5.575689818785724,,19.561672380952423,,1.288790897435888,602.764879985755,,0.87424686688,,burrard,3.49939567648273,3.604403852956591
2014-08-14 00:00:00+00:00,-0.00370030636746212,-0.001212923690415119,-0.0022291757371190077,,5.4939972495464895,,19.385062619047655,,1.1512554166666615,599.4772881944444,,0.9012222259371427,,burrard,3.4857757727671834,3.5966884453042693
2014-08-15 00:00:00+00:00,-0.008029973229596334,-0.002310808411725415,-0.0032132092080462346,-0.0029535812912842253,8.265717345876679,6.994072766639067,19.206680357142886,19.554346555555586,0.9131963392857025,590.9116074735449,594.6255589506173,1.9730840217142855,0.9361266999973333,burrard,3.473716662341283,3.5893040191651493
