site_code,source,data_kind,lat,lon,date,depth,o2,region,tau_along_3d,tau_along_7d,tau_along_14d,tau_along_30d,wind3_7d,wind3_30d,sstC_7d,sstC_30d,dT_14d,heat_14d,heat_30d,tp_mm_7d,tp_mm_30d,fraser_log_7d,fraser_log_30d,doy_sin,doy_cos,depth_log,is_cast,is_omz_ref
DFO_47.50_122.50W,DFO_CAST,cast,47.5025,-122.4909,2017-07-04 00:00:00+00:00,89.2,4.933333333333333,juan_de_fuca,0.016025262497873272,0.015145463941347167,0.010497184676002866,0.009043407424814024,76.04775071272759,51.58664564956753,10.141194761904776,10.100481222222244,2.8769361904761905,639.3704866402115,585.8437446759258,0.0923701697371393,2.0300865295033335,3.7718414775190543,3.857126617591492,-0.04084439154329611,-0.9991655196610109,1.9503648543761232,1,0
DFO_47.55_122.40W,DFO_CAST,cast,47.535168,-122.41866,2014-11-06 00:00:00+00:00,173.46555,3.546666666666667,juan_de_fuca,-1.425603432456095e-05,0.00027965888252703616,-0.0004788718217899654,-0.0005836494783702157,23.559956504745383,31.617661042328002,10.911448928571449,10.495180277777802,-0.49386726190475577,377.85271660879636,395.33314109182095,13.933113619777142,12.766551964055333,3.4214108197137807,3.364294282801151,-0.8136678304455991,0.5813300798152042,2.239213237452751,1,0
DFO_47.55_122.40W,DFO_CAST,cast,47.535,-122.41143,2016-07-14 00:00:00+00:00,167.12425,3.6666666666666665,juan_de_fuca,0.009847604806600121,0.006741934674342558,0.011615352271590834,0.009771641454890302,29.923279890970825,56.07737648036614,10.368142380952406,10.459824972222245,2.0182231547619063,539.0365963376323,565.7177085802468,3.656182970685711,2.023633320052,3.6502258689922287,3.659502684302074,-0.2280577712215198,-0.9736476020539838,2.223039471300154,1,0
DFO_47.55_122.40W,DFO_CAST,cast,47.53395,-122.41423,2017-07-03 00:00:00+00:00,178.9,4.198333333333333,juan_de_fuca,0.02284683454307609,0.015570631883984058,0.011001061332275573,0.009629999068436626,78.91408517063583,54.90010122616216,10.098155476190486,10.072575916666688,2.888458779761907,636.2638616484788,585.0920961651234,0.09243828933142502,2.0300706349313336,3.7762301194916295,3.864777005690122,-0.023651127245231586,-0.9997202729664083,2.252610340567373,1,0
DFO_47.65_129.60W,DFO_CAST,cast,47.645832,-129.6055,2021-09-11 00:00:00+00:00,2169.0,1.57,wcvi,-0.0056300785845234584,-0.0009172315134551365,0.005360807031260658,0.005496987342496645,7.063618693163517,32.38256962832539,12.84643238095239,12.989835972222242,0.7610927678571581,498.7343970072751,524.7129346141976,6.970678023545724,2.9885609952026666,3.2046699947360744,3.3197852427642576,-0.9417589340994617,-0.33628873017668287,3.336259552014193,1,0
DFO_47.70_122.40W,DFO_CAST,cast,47.719265,-122.40427,2016-10-26 00:00:00+00:00,70.4,4.181666666666667,juan_de_fuca,-0.010325097258960034,-0.005118820151833165,-0.0055136606059782624,-0.003275890240126317,35.22909349735192,28.803634991305284,9.98443654761907,9.629801750000025,0.3546042857142839,385.3877495949074,406.834090316358,9.885515496928567,10.204569527402667,3.382887804308526,3.3175571102010255,-0.9011686968561569,0.4334685453485363,1.8475726591421122,1,0
DFO_47.70_122.40W,DFO_CAST,cast,47.7188,-122.40432,2016-10-26 00:00:00+00:00,170.2,3.7816666666666654,juan_de_fuca,-0.010325097258960034,-0.005118820151833165,-0.0055136606059782624,-0.003275890240126317,35.22909349735192,28.803634991305284,9.98443654761907,9.629801750000025,0.3546042857142839,385.3877495949074,406.834090316358,9.885515496928567,10.204569527402667,3.382887804308526,3.3175571102010255,-0.9011686968561569,0.4334685453485363,2.230959555748569,1,0
DFO_47.70_122.45W,DFO_CAST,cast,47.719833,-122.4285,2015-10-03 00:00:00+00:00,199.22165,4.128333333333333,juan_de_fuca,0.00631023972426584,0.0004235049400975345,0.0013841071921751448,0.0011169670354635119,26.294691202920344,29.251537412157763,10.069756785714308,10.473047555555576,1.65117089285714,452.0733244378307,466.2451914699074,0.048433031419997205,2.8460820471806665,3.3552650644265567,3.3156564370470964,-0.9993706508539969,0.03547255575312556,2.2993365327052375,1,0
DFO_47.75_122.40W,DFO_CAST,cast,47.761665,-122.41335,2016-07-14 00:00:00+00:00,209.9198,3.773333333333333,juan_de_fuca,0.009847604806600121,0.006741934674342558,0.011615352271590834,0.009771641454890302,29.923279890970825,56.07737648036614,10.368142380952406,10.459824972222245,2.0182231547619063,539.0365963376323,565.7177085802468,3.656182970685711,2.023633320052,3.6502258689922287,3.659502684302074,-0.2280577712215198,-0.9736476020539838,2.3220534039239498,1,0
DFO_47.75_129.45W,DFO_CAST,cast,47.767166,-129.43083,2021-09-11 00:00:00+00:00,2172.8,1.578,wcvi,-0.0056300785845234584,-0.0009172315134551365,0.005360807031260658,0.005496987342496645,7.063618693163517,32.38256962832539,12.84643238095239,12.989835972222242,0.7610927678571581,498.7343970072751,524.7129346141976,6.970678023545724,2.9885609952026666,3.2046699947360744,3.3197852427642576,-0.9417589340994617,-0.33628873017668287,3.3370197526004075,1,0
DFO_47.80_124.70W,DFO_CAST,cast,47.779,-124.707664,2023-08-21 00:00:00+00:00,43.4,2.333333333333333,juan_de_fuca,0.0028196576398678967,0.0033543387022959693,0.004952246945521403,0.007494081893947832,29.191895058364498,39.830063894970294,10.496667142857161,10.555360666666681,5.725078869047637,594.2119723296958,584.4360744251543,0.02445493429428064,1.0009288803306677,3.338545860296771,3.333532562149547,-0.7621140503891487,-0.6474427960827475,1.6374897295125106,1,0
DFO_47.80_125.05W,DFO_CAST,cast,47.7795,-125.0525,2023-08-21 00:00:00+00:00,154.8,1.67,juan_de_fuca,0.0028196576398678967,0.0033543387022959693,0.004952246945521403,0.007494081893947832,29.191895058364498,39.830063894970294,10.496667142857161,10.555360666666681,5.725078869047637,594.2119723296958,584.4360744251543,0.02445493429428064,1.0009288803306677,3.338545860296771,3.333532562149547,-0.7621140503891487,-0.6474427960827475,2.189770956346874,1,0
DFO_47.80_125.10W,DFO_CAST,cast,47.779167,-125.09216,2023-08-21 00:00:00+00:00,384.3,1.298,juan_de_fuca,0.0028196576398678967,0.0033543387022959693,0.004952246945521403,0.007494081893947832,29.191895058364498,39.830063894970294,10.496667142857161,10.555360666666681,5.725078869047637,594.2119723296958,584.4360744251543,0.02445493429428064,1.0009288803306677,3.338545860296771,3.333532562149547,-0.7621140503891487,-0.6474427960827475,2.584670384464349,1,0
DFO_47.80_125.15W,DFO_CAST,cast,47.779167,-125.1355,2023-08-21 00:00:00+00:00,475.4,0.9266666666666666,juan_de_fuca,0.0028196576398678967,0.0033543387022959693,0.004952246945521403,0.007494081893947832,29.191895058364498,39.830063894970294,10.496667142857161,10.555360666666681,5.725078869047637,594.2119723296958,584.4360744251543,0.02445493429428064,1.0009288803306677,3.338545860296771,3.333532562149547,-0.7621140503891487,-0.6474427960827475,2.6770591773921613,1,0
DFO_47.80_125.25W,DFO_CAST,cast,47.779335,-125.2595,2023-08-22 00:00:00+00:00,496.1,0.96,juan_de_fuca,0.005011576774669446,0.004498310568348575,0.004327190261277786,0.007255934749522426,32.35768949045133,38.82738003840387,10.434322380952397,10.559534722222237,5.610355744047642,588.7140878720238,580.9515175385803,0.04686628042285207,1.0052045201073343,3.331373672451915,3.331670634900713,-0.7731383255706026,-0.6342374393978054,2.6955692270361857,1,0
DFO_47.80_125.40W,DFO_CAST,cast,47.779335,-125.3815,2023-08-22 00:00:00+00:00,495.8,0.8066666666666666,wcvi,0.014891219798966515,0.015755962832679236,0.011341937312460554,0.008247225643971363,60.2487326078661,30.96890900524664,13.689671071428595,13.863866888888916,1.8471602678571426,588.6160984705688,579.804357179784,0.087261199665729,1.7416636094846667,3.331373672451915,3.331670634900713,-0.7731383255706026,-0.6342374393978054,2.6953065224318027,1,0
